"Sottosistema","Sorgente","Unita","PercorsoEsplicito"
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\RIDUZ.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\RUOTASEZ.PAS","Definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\SALVAPI1.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\SPAZIO.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\TRONCO.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_05LR.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_079R.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_10RA.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_13CB.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_13RBT.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_15RBT.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_180R.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_271R.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_310F.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_31CC.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_337R.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_358.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_362R.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_3710.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_3722.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_3733.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_CVCAN.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_CVCAN1.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_INPUTC.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_VARPEZ.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\U_VARPEZZI.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UPROVA.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\VERIFICA.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\VSEZ.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_ICART.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_INPUTC.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\WINTR.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INSTALLA.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INTCR.PAS","Definiz",
